teks_bersih,target_banjir,target_kpr,target_shm
"Rumah 2 lantai di Slipi, Jakarta Barat. Disewakan rumah di wilayah yang tenang dengan pemandangan Dekat Kawasan Bisnis & Industri... Rinciannya: Kamar Tidur: 3, Kamar Mandi: 2, Sertifikat: -, Kondisi Perabotan: Furnished... Lokasi Bebas Banjir.",1,0,0
"Rumah 3 lantai di Karang Anyar Sawah Besar. Lokasi super strategis, deket ke jalan Raya Karang Anyar, 2 menitan dari RS.Husada... Legalitas SHM. Air PAM... Payment: Cash bertahap (tidak bisa KPR)...",0,0,1
"Perumahan Pejuang Jaya Blok B No.104 Medansatria - Kota Bekasi *Menerima Cash *Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 90 LB 75 1 Lantai 2 Kamar Tidur 3 Kamar Mandi Listrik 2200 VA Sumber Air PDAM Hadap Timur Fasilitas Sekitar Hunian: 1 menit ke SD Taman Pejuang 1 menit ke SD Negeri Pejuang 7 3 menit ke SD Kusuma Harapan 7 menit ke SD Tunas Harapan 7 menit ke SMP Tunas Harapan Nusantara 9 menit ke SMPN 19 Harapan Indah-Bekasi 9 menit ke SMA Negeri 10 Bekasi 10 menit ke Sekolah Menengah Pertama Alodia 3 menit ke Pasar Pejuang Jaya 5 menit ke Plaza Taman Harapan Baru 7 menit ke Pasar Marpungngah 15 menit ke Mall Grand Cakung 25 menit ke AEON MALL Jakarta Garden City 8 menit ke RS. Taman Harapan Baru 8 menit ke RS Citra Harapan 9 menit ke Puskesmas Kaliabang Tengah 10 menit ke Rumah Sakit Zainuttaqwa 10 menit ke Puskesmas Medan Satria 10 menit ke Puskesmas Pejuang 15 menit ke Puskesmas Perwira 15 menit ke Terminal Seroja 20 menit ke Gerbang Tol Cakung 2 20 menit ke Gerbang Tol Cakung 1 20 menit ke Stasiun Kranji 20 menit ke Stasiun Cakung 20 menit ke Terminal Pulogebang 25 menit ke Stasiun Klender Baru 25 menit ke Gerbang Tol SEMPER 1",0,1,1
Di jual rumah 3 lantai dengan lokasi strategis sawah besar Jakarta pusat. Lokasi dekat dengan *Stasiun sawah besar *Ruko karang banyak *Rs hudasa *Sekolahan santo yosep *pasar. asem reges *Mangga dua square...,0,0,0
"Perumahan Villa Nusa Indah 2 Cluster Anggrek Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 84 LT 84 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Fasilitas Sekitar Hunian: 6 Menit ke SD Islam Al-Kautsar Bojong Kulur 15 Menit ke SDN 02 Jatimekar 15 Menit ke SDN 04 Jatiluhur 20 Menit ke SMPN 39 Bekasi 25 Menit ke SMAN 11 Bekasi 10 Menit ke Pasar Tradisional Pocong 20 Menit ke Pasar Bambu 25 Menit ke Pasar Cileungsi 25 Menit ke Mall Ciputra Cibubur 25 Menit ke Mall Metropolitan Cibubur 20 Menit ke RS MH Thamrin Cileungsi 25 Menit ke RS Dr. Sismadi 25 Menit ke RS Hermina Mekarsari 25 Menit ke RSUD Jatisampurna Kota Bekasi 25 Menit ke UPTD Puskesmas Jatiranggon 25 Menit ke Gerbang Tol Jatiwarna 2 25 Menit ke Terminal Cileungsi 30 Menit ke Gerbang Tol Cimanggis 4 30 Menit ke Stasiun LRT Harjamukti 30 Menit ke Halte Busway Cibubur Junction",0,0,1
"FOR SALE - Brand New Modern Tropical Villa in Balangan Pratama - Jimbaran A perfect blend of luxury, comfort, and smart investment. v️Land Size 172 m2 v️Building Size 163 m2 v️ 3 Bedrooms | 3 Bathrooms (Master with bathtub) v️Freehold /SHM & PBG v️Electricity 7700 watt v️PDAM v️Facing East v️ Private Pool (18 sqm) v️ Fully Furnished + Full Kitchen Appliances v️ Smart Home System, CCTV & Fire Detector v️ Vertical Garden with Irrigation System v️ Laundry Room + Washer & Dryer Located in a safe, clean, and strategic area: Only 10 mins to Balangan, Dreamland & Jimbaran Beach 25 mins to Airport & Nusa Dua Ready to move in - ideal for living or rental income.",0,0,1
"Rumah Di jual 2 lantai bagus nan cantik lokasi di jl Arjuna utan kayu jakarta timur selling point 2 menit ke pasar jangkrik Pisangan 3 menit ke halte busway 4 menit ke sekolah SD,SMP, SMA 3 menit ke stasiun Jatinegara 5 menit ke mall green Pramuka Sertifikat: SHM - Sertifikat Hak Milik Kondisi Perabotan: Unfurnished Tidak hanya itu, properti ini layak untuk anda dapatkan karena: - Bebas Banjir. - Lingkungan Islami. - Cicilan Bertahap. - Dekat Akses Transjakarta. - Dekat Akses Bus Kota. - Dekat Pusat Perbelanjaan. - Dekat Sekolah Internasional. - Dekat Sekolah Negeri. - Dekat Universitas. - Akses Jalan Muat 2 Mobil.",1,0,1
"Bayangkan bangun setiap pagi dikelilingi oleh suasana yang tenang, nyaman, dan penuh kedamaian. Rumah ini bukan sekadar tempat tinggal, tetapi sebuah tempat di mana kisah indah keluarga Anda akan terukir dengan penuh cinta dan kebersamaan di dalam Manunggal Town House, Jakarta Timur. Rumah ini menawarkan lokasi yang strategis serta memiliki nilai tepat yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang terjangkau."" Kondisi properti ini bagus dan memiliki desain modern yang menambah daya tarik dan estetika properti ini. Rumah ini berada di area yang mudah dijangkau. Detail Properti ini adalah: - Kamar Tidur: 2 - Kamar Mandi: 1 - Sertifikat: HGB - Hak Guna Bangunan (Dapat dikonversi menjadi SHM) - Kondisi Perabotan: Semi Furnished Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut: - Bisa KPR. - Siap Huni. - Bebas Banjir. - Dekat Pusat Perbelanjaan. - Dekat Sekolah Negeri. - Dekat Universitas. - Dekat Fasilitas Kesehatan. - Dekat Tempat Ibadah. - Dekat Sekolah Internasional. - Dekat Pusat Bisnis. - Tangan Pertama. - Properti Bisa Nego. - Lokasi Strategis. Lokasi Strategis terletak di dekat Duren Sawit, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.",1,1,0
Dijual cepat rumah lokasi msk mobil tp ga ada garasi mobil. Dekat ke jalan raya pondok pinang. Surat AJB bebas banjir. Akses 5 menit ke mall pd indah. Harga 325juta nego tipis.,1,0,0
"Jual cpt ruma di Cluster Depan JGC, bgnn sdh renov total... Surat: SHM... Kond: Kosongan, bbas bnjr... 5mnt Gerbang Tol Cakung Tmr... Dkt KRL & MRT... halte TJ...",1,0,1
