page_num,title,text_blob,url,full_description,teks_gabungan,harga_rp,luas_tanah_m2,luas_bangunan_m2,AI_Bebas_Banjir,AI_Bisa_KPR,AI_SHM_Sementara,AI_Legalitas_SHM
1,Cluster Averon Kota Wisata Cibubur,"Top Properti Sekitar Official Developer 72 Loading... Loading... Rp 3,6 Miliar Tipe 8 4 4 1 LT: 120 m² LB: 149 m² Rp 4,8 Miliar Tipe 9 4 4 1 LT: 162 m² LB: 187 m² Tipe Unit Lainnya Rp 3,6 Miliar - 6,6 Miliar Cluster Averon Kota Wisata Cibubur 5 Cibubur, Bogor Rumah Diperbarui 3 hari yang lalu yang lalu oleh Sinar Mas Land +62813183... WhatsApp",https://www.rumah123.com/perumahan-baru/properti/bogor/cluster-averon-kota-wisata-cibubur/nps3736/,NOT_FOUND,"Cluster Averon Kota Wisata Cibubur Top Properti Sekitar Official Developer 72 Loading... Loading... Rp 3,6 Miliar Tipe 8 4 4 1 LT: 120 m² LB: 149 m² Rp 4,8 Miliar Tipe 9 4 4 1 LT: 162 m² LB: 187 m² Tipe Unit Lainnya Rp 3,6 Miliar - 6,6 Miliar Cluster Averon Kota Wisata Cibubur 5 Cibubur, Bogor Rumah Diperbarui 3 hari yang lalu yang lalu oleh Sinar Mas Land +62813183... WhatsApp ",3600000000,120,149,0,1,0,0
1,Bukit Podomoro Jakarta,"Top Properti di Jakarta Timur Official Developer 78 1 Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Rp 4,5 Miliar Wyndham 3+1 2+1 LT: 90 m² LB: 120 m² Rp 5,3 Miliar Tipe 7 WINDSOR (2 Lantai) 5 4 LT: 105 m² LB: 138 m² Tipe Unit Lainnya Free PPN DTP 100% Umroh Package Holiday Packages to Korea, Japan, Turkey Rp 4,5 Miliar - 7,7 Miliar Cicilan: Rp 24 Jutaan per bulan Bukit Podomoro Jakarta 4.8 Duren Sawit, Jakarta Timur Rumah, Ruko Diperbarui 2 hari yang lalu yang lalu oleh PT. Agung Podomoro Land, Tbk +62812883... WhatsApp",https://www.rumah123.com/perumahan-baru/properti/jakarta-timur/bukit-podomoro-jakarta/nps2891/,NOT_FOUND,"Bukit Podomoro Jakarta Top Properti di Jakarta Timur Official Developer 78 1 Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Rp 4,5 Miliar Wyndham 3+1 2+1 LT: 90 m² LB: 120 m² Rp 5,3 Miliar Tipe 7 WINDSOR (2 Lantai) 5 4 LT: 105 m² LB: 138 m² Tipe Unit Lainnya Free PPN DTP 100% Umroh Package Holiday Packages to Korea, Japan, Turkey Rp 4,5 Miliar - 7,7 Miliar Cicilan: Rp 24 Jutaan per bulan Bukit Podomoro Jakarta 4.8 Duren Sawit, Jakarta Timur Rumah, Ruko Diperbarui 2 hari yang lalu yang lalu oleh PT. Agung Podomoro Land, Tbk +62812883... WhatsApp ",4500000000,90,120,0,1,0,0
1,Metland Menteng,"Top Properti di Jakarta Timur Official Developer 31 Loading... Loading... Loading... Loading... Loading... Loading... Rp 1,9 Miliar Tipe 7x10 3+1 2 LT: 70 m² LB: 98 m² Rp 3,4 Miliar Tipe A 3+1 2+1 LT: 105 m² LB: 108 m² Tipe Unit Lainnya Special Price KPR Express Bonus Logam Mulia Digital Tanpa Diundi Rp 1,9 Miliar - 6,8 Miliar Metland Menteng 4.8 Cakung, Jakarta Timur Rumah, Ruko Diperbarui 3 hari yang lalu yang lalu oleh Metropolitan Land Tbk +62822342... WhatsApp",https://www.rumah123.com/perumahan-baru/properti/jakarta-timur/metland-menteng/nps1948/,NOT_FOUND,"Metland Menteng Top Properti di Jakarta Timur Official Developer 31 Loading... Loading... Loading... Loading... Loading... Loading... Rp 1,9 Miliar Tipe 7x10 3+1 2 LT: 70 m² LB: 98 m² Rp 3,4 Miliar Tipe A 3+1 2+1 LT: 105 m² LB: 108 m² Tipe Unit Lainnya Special Price KPR Express Bonus Logam Mulia Digital Tanpa Diundi Rp 1,9 Miliar - 6,8 Miliar Metland Menteng 4.8 Cakung, Jakarta Timur Rumah, Ruko Diperbarui 3 hari yang lalu yang lalu oleh Metropolitan Land Tbk +62822342... WhatsApp ",1900000000,70,98,0,1,0,0
1,Hunian Elit di Jakarta Dekat Akses Toll dan Sekolah Punya Fasilitas Bintang Lima,"28 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Sekolah Dekat Fasilitas Kesehatan Rp 5,4 Miliar Rp 26 Jutaan (Tenor 20 Tahun) Rp 33 Jutaan (Tenor 15 Tahun) Hunian Elit di Jakarta Dekat Akses Toll dan Sekolah Punya Fasilitas Bintang Lima  Jakarta Garden City, Jakarta Timur  Project: Bukit Podomoro Jakarta Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi Rumah mewah ini berada di ...  5 5 1 + 1 LT:  105 m² LB:  180 m²  Diperbarui 23 menit yang lalu oleh  Putra  +628775... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/hunian-elit-di-jakarta-dekat-akses-toll-dan-sekolah-punya-fasilitas-bintang-lima-hos40852812/,"Project: Bukit Podomoro Jakarta  Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi  Rumah mewah ini berada di tengah Jakarta Timur Bebas banjir Rumah elit di Jakarta ini juga memiliki fasilitas bintang lima yang tidak dimiliki perumahan atau cluster lainnya  Lokasi sangat strategis: - 10 menit ke RS Antam Medika - 10 menit ke RSUP Persahabatan - 10 menit ke Jakarta International Velodrome - 15 menit ke Universitas Negeri Jakarta - 1 menit ke Stasiun Buaran  rumah mewah jakarta rumah mewah jakarta 3 lantai rumah premium jakarta cluster jakarta rumah siap huni mewah di jakarta","Hunian Elit di Jakarta Dekat Akses Toll dan Sekolah Punya Fasilitas Bintang Lima 28 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Sekolah Dekat Fasilitas Kesehatan Rp 5,4 Miliar Rp 26 Jutaan (Tenor 20 Tahun) Rp 33 Jutaan (Tenor 15 Tahun) Hunian Elit di Jakarta Dekat Akses Toll dan Sekolah Punya Fasilitas Bintang Lima  Jakarta Garden City, Jakarta Timur  Project: Bukit Podomoro Jakarta Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi Rumah mewah ini berada di ...  5 5 1 + 1 LT:  105 m² LB:  180 m²  Diperbarui 23 menit yang lalu oleh  Putra  +628775... WhatsApp Project: Bukit Podomoro Jakarta  Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi  Rumah mewah ini berada di tengah Jakarta Timur Bebas banjir Rumah elit di Jakarta ini juga memiliki fasilitas bintang lima yang tidak dimiliki perumahan atau cluster lainnya  Lokasi sangat strategis: - 10 menit ke RS Antam Medika - 10 menit ke RSUP Persahabatan - 10 menit ke Jakarta International Velodrome - 15 menit ke Universitas Negeri Jakarta - 1 menit ke Stasiun Buaran  rumah mewah jakarta rumah mewah jakarta 3 lantai rumah premium jakarta cluster jakarta rumah siap huni mewah di jakarta",5400000000,105,180,0,1,0,0
1,Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis,"28 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Sekolah Dekat Fasilitas Kesehatan Rp 5,4 Miliar Rp 26 Jutaan (Tenor 20 Tahun) Rp 33 Jutaan (Tenor 15 Tahun) Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis  Cipayung, Jakarta Timur  Project: Bukit Podomoro Jakarta Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi Rumah mewah ini berada di ...  5 5 2 + 2 LT:  105 m² LB:  180 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-cipayung/dijual-rumah-baru-nan-modern-3-lantai-di-jaktim-dekat-sekolah-dan-akses-strategis-hos40855838/,"Project: Bukit Podomoro Jakarta  Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi  Rumah mewah ini berada di tengah Jakarta Timur Bebas banjir Rumah elit di Jakarta ini juga memiliki fasilitas bintang lima yang tidak dimiliki perumahan atau cluster lainnya  Lokasi sangat strategis: - 10 menit ke RS Antam Medika - 10 menit ke RSUP Persahabatan - 10 menit ke Jakarta International Velodrome - 15 menit ke Universitas Negeri Jakarta - 1 menit ke Stasiun Buaran  rumah mewah jakarta rumah mewah jakarta 3 lantai rumah premium jakarta cluster jakarta rumah siap huni mewah di jakarta","Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis 28 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Sekolah Dekat Fasilitas Kesehatan Rp 5,4 Miliar Rp 26 Jutaan (Tenor 20 Tahun) Rp 33 Jutaan (Tenor 15 Tahun) Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis  Cipayung, Jakarta Timur  Project: Bukit Podomoro Jakarta Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi Rumah mewah ini berada di ...  5 5 2 + 2 LT:  105 m² LB:  180 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp Project: Bukit Podomoro Jakarta  Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 180 m2 5 kamar tidur, 5 kamar mandi  Rumah mewah ini berada di tengah Jakarta Timur Bebas banjir Rumah elit di Jakarta ini juga memiliki fasilitas bintang lima yang tidak dimiliki perumahan atau cluster lainnya  Lokasi sangat strategis: - 10 menit ke RS Antam Medika - 10 menit ke RSUP Persahabatan - 10 menit ke Jakarta International Velodrome - 15 menit ke Universitas Negeri Jakarta - 1 menit ke Stasiun Buaran  rumah mewah jakarta rumah mewah jakarta 3 lantai rumah premium jakarta cluster jakarta rumah siap huni mewah di jakarta",5400000000,105,180,0,1,0,0
1,Rumah Mewah Elit Baru Fasilitas Lengkap di Asya Jakarta Timur,"23 Rumah  Premier  Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,3 Miliar Rp 11 Jutaan (Tenor 20 Tahun) Rp 14 Jutaan (Tenor 15 Tahun) Rumah Mewah Elit Baru Fasilitas Lengkap di Asya Jakarta Timur  Cakung, Jakarta Timur  Project: Asya Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land Luas tanah 84 m2, luas bangunan 87 m2 3 kamar tidur, ...  3 3 1 + 1 LT:  84 m² LB:  87 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-elit-baru-fasilitas-lengkap-di-asya-jakarta-timur-hos40222364/,"Project: Asya  Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land  Luas tanah 84 m2, luas bangunan 87 m2 3 kamar tidur, 3 kamar mandi 2 lantai  Cocok untuk dijadikan hunian/tempat tinggal Lokasi strategis Memiliki danau besar seluas 15 hektare, lengkap dengan lake-side garden yang ditunjang dengan 13 hektare area penghijauan  Fasilitas lengkap (ada clubhouse)  Lokasi: - ± 2 menit ke AEON MALL Jakarta Garden City - ± 2 menit ke IKEA Jakarta Garden City - ± 3 menit ke RS Mayapada - ± 10 menit ke Tol Cakung - ± 10 menit ke Universitas Esa Unggul Kampus Bekasi - ± 15 menit ke Kelapa Gading  Rumah dijual di Asya JGC Jakarta Timur","Rumah Mewah Elit Baru Fasilitas Lengkap di Asya Jakarta Timur 23 Rumah  Premier  Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,3 Miliar Rp 11 Jutaan (Tenor 20 Tahun) Rp 14 Jutaan (Tenor 15 Tahun) Rumah Mewah Elit Baru Fasilitas Lengkap di Asya Jakarta Timur  Cakung, Jakarta Timur  Project: Asya Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land Luas tanah 84 m2, luas bangunan 87 m2 3 kamar tidur, ...  3 3 1 + 1 LT:  84 m² LB:  87 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp Project: Asya  Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land  Luas tanah 84 m2, luas bangunan 87 m2 3 kamar tidur, 3 kamar mandi 2 lantai  Cocok untuk dijadikan hunian/tempat tinggal Lokasi strategis Memiliki danau besar seluas 15 hektare, lengkap dengan lake-side garden yang ditunjang dengan 13 hektare area penghijauan  Fasilitas lengkap (ada clubhouse)  Lokasi: - ± 2 menit ke AEON MALL Jakarta Garden City - ± 2 menit ke IKEA Jakarta Garden City - ± 3 menit ke RS Mayapada - ± 10 menit ke Tol Cakung - ± 10 menit ke Universitas Esa Unggul Kampus Bekasi - ± 15 menit ke Kelapa Gading  Rumah dijual di Asya JGC Jakarta Timur",2300000000,84,87,0,1,0,0
1,Hidden Gems Cibubur Dekat LRT dan Mall,"7 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Rp 950 Juta Rp 4 Jutaan (Tenor 20 Tahun) Rp 5 Jutaan (Tenor 15 Tahun) Hidden Gems Cibubur Dekat LRT dan Mall  Cibubur, Jakarta Timur  Rumah di Cibubur. Temukan rumah 2 lantai yang modern ini, dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Ruma...  3 2 2 + 2 LT:  84 m² LB:  72 m² B  Diperbarui 1 jam yang lalu oleh  Betti  Independen  +628131... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-cibubur/hidden-gems-cibubur-dekat-lrt-dan-mall-hos41256321/,"Rumah di Cibubur.  Temukan rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah yang mudah dijangkau serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:   - Kamar Tidur: 2 & 3  - Kamar Mandi: 2  - Sertifikat: SHM   - Sertifikat Hak Milik  - Kondisi Perabotan: Semi Furnished  Fitur unggulan:   - Bisa KPR.  - Siap Huni.  - Bebas Banjir.  - Cicilan Bertahap.  Terletak di Cibubur, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga mulai 900jtan, anda bisa memiliki hunian terbaik yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Segera ambil kesempatan untuk menikmati pengalaman tinggal di kawasan Cibubur yang nyaman ini!  Kontak segera untuk informasi lebih lanjut!","Hidden Gems Cibubur Dekat LRT dan Mall 7 Rumah  Premier  Siap Huni Bebas Banjir Dekat Akses Transportasi Rp 950 Juta Rp 4 Jutaan (Tenor 20 Tahun) Rp 5 Jutaan (Tenor 15 Tahun) Hidden Gems Cibubur Dekat LRT dan Mall  Cibubur, Jakarta Timur  Rumah di Cibubur. Temukan rumah 2 lantai yang modern ini, dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Ruma...  3 2 2 + 2 LT:  84 m² LB:  72 m² B  Diperbarui 1 jam yang lalu oleh  Betti  Independen  +628131... WhatsApp Rumah di Cibubur.  Temukan rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah yang mudah dijangkau serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:   - Kamar Tidur: 2 & 3  - Kamar Mandi: 2  - Sertifikat: SHM   - Sertifikat Hak Milik  - Kondisi Perabotan: Semi Furnished  Fitur unggulan:   - Bisa KPR.  - Siap Huni.  - Bebas Banjir.  - Cicilan Bertahap.  Terletak di Cibubur, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga mulai 900jtan, anda bisa memiliki hunian terbaik yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Segera ambil kesempatan untuk menikmati pengalaman tinggal di kawasan Cibubur yang nyaman ini!  Kontak segera untuk informasi lebih lanjut!",950000000,84,72,1,1,0,1
1,Synthesis Huis,"Official Developer 40 1 Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Rp 2 Miliar Safford 3 2 1 LT: 60 m² LB: 85 m² Rp 2,34 Miliar Fika 3 2 2 LT: 72 m² LB: 98 m² Tipe Unit Lainnya Tambahan Cashback 32 Juta Rupiah Free Biaya Akad KPR Free Biaya Surat-surat Rp 2 Miliar - 4,83 Miliar Cicilan: Rp 13 Jutaan per bulan Synthesis Huis 4.9 Cijantung, Jakarta Timur Rumah Diperbarui 2 hari yang lalu yang lalu oleh Synthesis Development +62877856... WhatsApp",https://www.rumah123.com/perumahan-baru/properti/jakarta-timur/synthesis-huis/nps2887/,NOT_FOUND,"Synthesis Huis Official Developer 40 1 Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Loading... Rp 2 Miliar Safford 3 2 1 LT: 60 m² LB: 85 m² Rp 2,34 Miliar Fika 3 2 2 LT: 72 m² LB: 98 m² Tipe Unit Lainnya Tambahan Cashback 32 Juta Rupiah Free Biaya Akad KPR Free Biaya Surat-surat Rp 2 Miliar - 4,83 Miliar Cicilan: Rp 13 Jutaan per bulan Synthesis Huis 4.9 Cijantung, Jakarta Timur Rumah Diperbarui 2 hari yang lalu yang lalu oleh Synthesis Development +62877856... WhatsApp ",2000000000,60,85,0,1,0,0
1,Rumah 3 Lantai Dalam Cluster di Bambu Apus Jakarta Dekat Tol,"15 Rumah  Premier  Komplek Perumahan Siap Huni Dekat Akses Transportasi Dekat Fasilitas Kesehatan Rp 3,7 Miliar Rp 18 Jutaan (Tenor 20 Tahun) Rp 23 Jutaan (Tenor 15 Tahun) Rumah 3 Lantai Dalam Cluster di Bambu Apus Jakarta Dekat Tol  Bambu Apus, Jakarta Timur  Hunian Luxury Modern dalam Cluster Eksklusif - Bambu Apus, Jakarta Timur Hadir sebuah rumah secondary premium di kawasan cluster nyaman dan presti...  4 + 1 3 + 1 2 LT:  114 m² LB:  170 m²  Diperbarui 1 jam yang lalu oleh  Rizal Arrashy  Independen  +628128... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-bambu-apus/rumah-3-lantai-dalam-cluster-di-bambu-apus-jakarta-dekat-tol-hos41301446/,NOT_FOUND,"Rumah 3 Lantai Dalam Cluster di Bambu Apus Jakarta Dekat Tol 15 Rumah  Premier  Komplek Perumahan Siap Huni Dekat Akses Transportasi Dekat Fasilitas Kesehatan Rp 3,7 Miliar Rp 18 Jutaan (Tenor 20 Tahun) Rp 23 Jutaan (Tenor 15 Tahun) Rumah 3 Lantai Dalam Cluster di Bambu Apus Jakarta Dekat Tol  Bambu Apus, Jakarta Timur  Hunian Luxury Modern dalam Cluster Eksklusif - Bambu Apus, Jakarta Timur Hadir sebuah rumah secondary premium di kawasan cluster nyaman dan presti...  4 + 1 3 + 1 2 LT:  114 m² LB:  170 m²  Diperbarui 1 jam yang lalu oleh  Rizal Arrashy  Independen  +628128... WhatsApp ",3700000000,114,170,0,1,0,0
1,Rumah Kondisi Baru Punya 2 Lantai & 3 KT Mewah Premium di Jakarta,"23 Rumah  Premier  Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,3 Miliar Rp 11 Jutaan (Tenor 20 Tahun) Rp 14 Jutaan (Tenor 15 Tahun) Rumah Kondisi Baru Punya 2 Lantai & 3 KT Mewah Premium di Jakarta  Cakung, Jakarta Timur  Project: Asya Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land Luas tanah 84 m2, luas bangunan 87 m2 3 kamar t...  3 3 1 + 1 LT:  84 m² LB:  87 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp",https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-kondisi-baru-punya-2-lantai-3-kt-mewah-premium-di-jakarta-hos40222427/,NOT_FOUND,"Rumah Kondisi Baru Punya 2 Lantai & 3 KT Mewah Premium di Jakarta 23 Rumah  Premier  Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,3 Miliar Rp 11 Jutaan (Tenor 20 Tahun) Rp 14 Jutaan (Tenor 15 Tahun) Rumah Kondisi Baru Punya 2 Lantai & 3 KT Mewah Premium di Jakarta  Cakung, Jakarta Timur  Project: Asya Dijual rumah baru di Perumahan Asya Developer: Astra Property & Hongkong Land Luas tanah 84 m2, luas bangunan 87 m2 3 kamar t...  3 3 1 + 1 LT:  84 m² LB:  87 m²  Diperbarui 1 jam yang lalu oleh  Putra  +628775... WhatsApp ",2300000000,84,87,0,1,0,0
